Schema;Table;schematable;Column_ID;Column;constraint;primary table;pk column name;constraint column;foreign key constraint;domain
dbo;AWBuildVersion;dboAWBuildVersion;1;SystemInformationID;NULL;NULL;NULL;NULL;NULL;tinyint
dbo;AWBuildVersion;dboAWBuildVersion;2;Database Version;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;AWBuildVersion;dboAWBuildVersion;2;Database Version;NULL;NULL;NULL;NULL;NULL;sysname
dbo;AWBuildVersion;dboAWBuildVersion;2;Database Version;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;AWBuildVersion;dboAWBuildVersion;2;Database Version;NULL;NULL;NULL;NULL;NULL;Name
dbo;AWBuildVersion;dboAWBuildVersion;2;Database Version;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;AWBuildVersion;dboAWBuildVersion;2;Database Version;NULL;NULL;NULL;NULL;NULL;Phone
dbo;AWBuildVersion;dboAWBuildVersion;3;VersionDate;NULL;NULL;NULL;NULL;NULL;datetime
dbo;AWBuildVersion;dboAWBuildVersion;4;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
dbo;DatabaseLog;dboDatabaseLog;1;DatabaseLogID;NULL;NULL;NULL;NULL;NULL;int
dbo;DatabaseLog;dboDatabaseLog;2;PostTime;NULL;NULL;NULL;NULL;NULL;datetime
dbo;DatabaseLog;dboDatabaseLog;3;DatabaseUser;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;DatabaseLog;dboDatabaseLog;3;DatabaseUser;NULL;NULL;NULL;NULL;NULL;sysname
dbo;DatabaseLog;dboDatabaseLog;3;DatabaseUser;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;DatabaseLog;dboDatabaseLog;3;DatabaseUser;NULL;NULL;NULL;NULL;NULL;Name
dbo;DatabaseLog;dboDatabaseLog;3;DatabaseUser;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;DatabaseLog;dboDatabaseLog;3;DatabaseUser;NULL;NULL;NULL;NULL;NULL;Phone
dbo;DatabaseLog;dboDatabaseLog;4;Event;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;DatabaseLog;dboDatabaseLog;4;Event;NULL;NULL;NULL;NULL;NULL;sysname
dbo;DatabaseLog;dboDatabaseLog;4;Event;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;DatabaseLog;dboDatabaseLog;4;Event;NULL;NULL;NULL;NULL;NULL;Name
dbo;DatabaseLog;dboDatabaseLog;4;Event;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;DatabaseLog;dboDatabaseLog;4;Event;NULL;NULL;NULL;NULL;NULL;Phone
dbo;DatabaseLog;dboDatabaseLog;5;Schema;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;DatabaseLog;dboDatabaseLog;5;Schema;NULL;NULL;NULL;NULL;NULL;sysname
dbo;DatabaseLog;dboDatabaseLog;5;Schema;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;DatabaseLog;dboDatabaseLog;5;Schema;NULL;NULL;NULL;NULL;NULL;Name
dbo;DatabaseLog;dboDatabaseLog;5;Schema;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;DatabaseLog;dboDatabaseLog;5;Schema;NULL;NULL;NULL;NULL;NULL;Phone
dbo;DatabaseLog;dboDatabaseLog;6;Object;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;DatabaseLog;dboDatabaseLog;6;Object;NULL;NULL;NULL;NULL;NULL;sysname
dbo;DatabaseLog;dboDatabaseLog;6;Object;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;DatabaseLog;dboDatabaseLog;6;Object;NULL;NULL;NULL;NULL;NULL;Name
dbo;DatabaseLog;dboDatabaseLog;6;Object;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;DatabaseLog;dboDatabaseLog;6;Object;NULL;NULL;NULL;NULL;NULL;Phone
dbo;DatabaseLog;dboDatabaseLog;7;TSQL;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;DatabaseLog;dboDatabaseLog;7;TSQL;NULL;NULL;NULL;NULL;NULL;sysname
dbo;DatabaseLog;dboDatabaseLog;7;TSQL;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;DatabaseLog;dboDatabaseLog;7;TSQL;NULL;NULL;NULL;NULL;NULL;Name
dbo;DatabaseLog;dboDatabaseLog;7;TSQL;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;DatabaseLog;dboDatabaseLog;7;TSQL;NULL;NULL;NULL;NULL;NULL;Phone
dbo;DatabaseLog;dboDatabaseLog;8;XmlEvent;NULL;NULL;NULL;NULL;NULL;xml
dbo;ErrorLog;dboErrorLog;1;ErrorLogID;NULL;NULL;NULL;NULL;NULL;int
dbo;ErrorLog;dboErrorLog;2;ErrorTime;NULL;NULL;NULL;NULL;NULL;datetime
dbo;ErrorLog;dboErrorLog;3;UserName;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;ErrorLog;dboErrorLog;3;UserName;NULL;NULL;NULL;NULL;NULL;sysname
dbo;ErrorLog;dboErrorLog;3;UserName;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;ErrorLog;dboErrorLog;3;UserName;NULL;NULL;NULL;NULL;NULL;Name
dbo;ErrorLog;dboErrorLog;3;UserName;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;ErrorLog;dboErrorLog;3;UserName;NULL;NULL;NULL;NULL;NULL;Phone
dbo;ErrorLog;dboErrorLog;4;ErrorNumber;NULL;NULL;NULL;NULL;NULL;int
dbo;ErrorLog;dboErrorLog;5;ErrorSeverity;NULL;NULL;NULL;NULL;NULL;int
dbo;ErrorLog;dboErrorLog;6;ErrorState;NULL;NULL;NULL;NULL;NULL;int
dbo;ErrorLog;dboErrorLog;7;ErrorProcedure;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;ErrorLog;dboErrorLog;7;ErrorProcedure;NULL;NULL;NULL;NULL;NULL;sysname
dbo;ErrorLog;dboErrorLog;7;ErrorProcedure;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;ErrorLog;dboErrorLog;7;ErrorProcedure;NULL;NULL;NULL;NULL;NULL;Name
dbo;ErrorLog;dboErrorLog;7;ErrorProcedure;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;ErrorLog;dboErrorLog;7;ErrorProcedure;NULL;NULL;NULL;NULL;NULL;Phone
dbo;ErrorLog;dboErrorLog;8;ErrorLine;NULL;NULL;NULL;NULL;NULL;int
dbo;ErrorLog;dboErrorLog;9;ErrorMessage;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;ErrorLog;dboErrorLog;9;ErrorMessage;NULL;NULL;NULL;NULL;NULL;sysname
dbo;ErrorLog;dboErrorLog;9;ErrorMessage;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;ErrorLog;dboErrorLog;9;ErrorMessage;NULL;NULL;NULL;NULL;NULL;Name
dbo;ErrorLog;dboErrorLog;9;ErrorMessage;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;ErrorLog;dboErrorLog;9;ErrorMessage;NULL;NULL;NULL;NULL;NULL;Phone
dbo;sysdiagrams;dbosysdiagrams;1;name;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;sysdiagrams;dbosysdiagrams;1;name;NULL;NULL;NULL;NULL;NULL;sysname
dbo;sysdiagrams;dbosysdiagrams;1;name;NULL;NULL;NULL;NULL;NULL;AccountNumber
dbo;sysdiagrams;dbosysdiagrams;1;name;NULL;NULL;NULL;NULL;NULL;Name
dbo;sysdiagrams;dbosysdiagrams;1;name;NULL;NULL;NULL;NULL;NULL;OrderNumber
dbo;sysdiagrams;dbosysdiagrams;1;name;NULL;NULL;NULL;NULL;NULL;Phone
dbo;sysdiagrams;dbosysdiagrams;2;principal_id;NULL;NULL;NULL;NULL;NULL;int
dbo;sysdiagrams;dbosysdiagrams;3;diagram_id;NULL;NULL;NULL;NULL;NULL;int
dbo;sysdiagrams;dbosysdiagrams;4;version;NULL;NULL;NULL;NULL;NULL;int
dbo;sysdiagrams;dbosysdiagrams;5;definition;NULL;NULL;NULL;NULL;NULL;varbinary
HumanResources;Department;HumanResourcesDepartment;1;DepartmentID;NULL;NULL;NULL;NULL;NULL;smallint
HumanResources;Department;HumanResourcesDepartment;2;Name;NULL;NULL;NULL;NULL;NULL;nvarchar
HumanResources;Department;HumanResourcesDepartment;2;Name;NULL;NULL;NULL;NULL;NULL;sysname
HumanResources;Department;HumanResourcesDepartment;2;Name;NULL;NULL;NULL;NULL;NULL;AccountNumber
HumanResources;Department;HumanResourcesDepartment;2;Name;NULL;NULL;NULL;NULL;NULL;Name
HumanResources;Department;HumanResourcesDepartment;2;Name;NULL;NULL;NULL;NULL;NULL;OrderNumber
HumanResources;Department;HumanResourcesDepartment;2;Name;NULL;NULL;NULL;NULL;NULL;Phone
HumanResources;Department;HumanResourcesDepartment;3;GroupName;NULL;NULL;NULL;NULL;NULL;nvarchar
HumanResources;Department;HumanResourcesDepartment;3;GroupName;NULL;NULL;NULL;NULL;NULL;sysname
HumanResources;Department;HumanResourcesDepartment;3;GroupName;NULL;NULL;NULL;NULL;NULL;AccountNumber
HumanResources;Department;HumanResourcesDepartment;3;GroupName;NULL;NULL;NULL;NULL;NULL;Name
HumanResources;Department;HumanResourcesDepartment;3;GroupName;NULL;NULL;NULL;NULL;NULL;OrderNumber
HumanResources;Department;HumanResourcesDepartment;3;GroupName;NULL;NULL;NULL;NULL;NULL;Phone
HumanResources;Department;HumanResourcesDepartment;4;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
HumanResources;Employee;HumanResourcesEmployee;1;BusinessEntityID;>-;Person.Person;BusinessEntityID;1;FK_Employee_Person_BusinessEntityID;int
HumanResources;Employee;HumanResourcesEmployee;2;NationalIDNumber;NULL;NULL;NULL;NULL;NULL;nvarchar
