schema;table;column_id;column;fk_relation;relationship_entity;r_private_key;r_column_id;domain
dbo;1;SystemInformationID;NULL;NULL;NULL;NULL;NULL;tinyint
dbo;2;Database Version;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;3;VersionDate;NULL;NULL;NULL;NULL;NULL;datetime
dbo;4;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
dbo;1;DatabaseLogID;NULL;NULL;NULL;NULL;NULL;int
dbo;2;PostTime;NULL;NULL;NULL;NULL;NULL;datetime
dbo;3;DatabaseUser;NULL;NULL;NULL;NULL;NULL;sysname
dbo;4;Event;NULL;NULL;NULL;NULL;NULL;sysname
dbo;5;Schema;NULL;NULL;NULL;NULL;NULL;sysname
dbo;6;Object;NULL;NULL;NULL;NULL;NULL;sysname
dbo;7;TSQL;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;8;XmlEvent;NULL;NULL;NULL;NULL;NULL;xml
dbo;1;ErrorLogID;NULL;NULL;NULL;NULL;NULL;int
dbo;2;ErrorTime;NULL;NULL;NULL;NULL;NULL;datetime
dbo;3;UserName;NULL;NULL;NULL;NULL;NULL;sysname
dbo;4;ErrorNumber;NULL;NULL;NULL;NULL;NULL;int
dbo;5;ErrorSeverity;NULL;NULL;NULL;NULL;NULL;int
dbo;6;ErrorState;NULL;NULL;NULL;NULL;NULL;int
dbo;7;ErrorProcedure;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;8;ErrorLine;NULL;NULL;NULL;NULL;NULL;int
dbo;9;ErrorMessage;NULL;NULL;NULL;NULL;NULL;nvarchar
dbo;1;name;NULL;NULL;NULL;NULL;NULL;sysname
dbo;2;principal_id;NULL;NULL;NULL;NULL;NULL;int
dbo;3;diagram_id;NULL;NULL;NULL;NULL;NULL;int
dbo;4;version;NULL;NULL;NULL;NULL;NULL;int
dbo;5;definition;NULL;NULL;NULL;NULL;NULL;varbinary
HumanResources;1;DepartmentID;NULL;NULL;NULL;NULL;NULL;smallint
HumanResources;2;Name;NULL;NULL;NULL;NULL;NULL;Name
HumanResources;3;GroupName;NULL;NULL;NULL;NULL;NULL;Name
HumanResources;4;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
HumanResources;1;BusinessEntityID;>-;Person.Person;BusinessEntityID;1;FK_Employee_Person_BusinessEntityID;int
HumanResources;2;NationalIDNumber;NULL;NULL;NULL;NULL;NULL;nvarchar
HumanResources;3;LoginID;NULL;NULL;NULL;NULL;NULL;nvarchar
HumanResources;4;OrganizationNode;NULL;NULL;NULL;NULL;NULL;hierarchyid
HumanResources;5;OrganizationLevel;NULL;NULL;NULL;NULL;NULL;smallint
HumanResources;6;JobTitle;NULL;NULL;NULL;NULL;NULL;nvarchar
HumanResources;7;BirthDate;NULL;NULL;NULL;NULL;NULL;date
HumanResources;8;MaritalStatus;NULL;NULL;NULL;NULL;NULL;nchar
HumanResources;9;Gender;NULL;NULL;NULL;NULL;NULL;nchar
HumanResources;10;HireDate;NULL;NULL;NULL;NULL;NULL;date
HumanResources;11;SalariedFlag;NULL;NULL;NULL;NULL;NULL;Flag
HumanResources;12;VacationHours;NULL;NULL;NULL;NULL;NULL;smallint
HumanResources;13;SickLeaveHours;NULL;NULL;NULL;NULL;NULL;smallint
HumanResources;14;CurrentFlag;NULL;NULL;NULL;NULL;NULL;Flag
HumanResources;15;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
HumanResources;16;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
HumanResources;1;BusinessEntityID;>-;HumanResources.Employee;BusinessEntityID;1;FK_EmployeeDepartmentHistory_Employee_BusinessEntityID;int
HumanResources;2;DepartmentID;>-;HumanResources.Department;DepartmentID;1;FK_EmployeeDepartmentHistory_Department_DepartmentID;smallint
HumanResources;3;ShiftID;>-;HumanResources.Shift;ShiftID;1;FK_EmployeeDepartmentHistory_Shift_ShiftID;tinyint
HumanResources;4;StartDate;NULL;NULL;NULL;NULL;NULL;date
HumanResources;5;EndDate;NULL;NULL;NULL;NULL;NULL;date
HumanResources;6;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
HumanResources;1;BusinessEntityID;>-;HumanResources.Employee;BusinessEntityID;1;FK_EmployeePayHistory_Employee_BusinessEntityID;int
HumanResources;2;RateChangeDate;NULL;NULL;NULL;NULL;NULL;datetime
HumanResources;3;Rate;NULL;NULL;NULL;NULL;NULL;money
HumanResources;4;PayFrequency;NULL;NULL;NULL;NULL;NULL;tinyint
HumanResources;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
HumanResources;1;JobCandidateID;NULL;NULL;NULL;NULL;NULL;int
HumanResources;2;BusinessEntityID;>-;HumanResources.Employee;BusinessEntityID;1;FK_JobCandidate_Employee_BusinessEntityID;int
HumanResources;3;Resume;NULL;NULL;NULL;NULL;NULL;xml
HumanResources;4;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
HumanResources;1;ShiftID;NULL;NULL;NULL;NULL;NULL;tinyint
HumanResources;2;Name;NULL;NULL;NULL;NULL;NULL;Name
HumanResources;3;StartTime;NULL;NULL;NULL;NULL;NULL;time
HumanResources;4;EndTime;NULL;NULL;NULL;NULL;NULL;time
HumanResources;5;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;1;AddressID;NULL;NULL;NULL;NULL;NULL;int
Person;2;AddressLine1;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;3;AddressLine2;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;4;City;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;5;StateProvinceID;>-;Person.StateProvince;StateProvinceID;1;FK_Address_StateProvince_StateProvinceID;int
Person;6;PostalCode;NULL;NULL;NULL;NULL;NULL;nvarchar
Person;7;SpatialLocation;NULL;NULL;NULL;NULL;NULL;geography
Person;8;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;9;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;1;AddressTypeID;NULL;NULL;NULL;NULL;NULL;int
Person;2;Name;NULL;NULL;NULL;NULL;NULL;Name
Person;3;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;4;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
Person;1;BusinessEntityID;NULL;NULL;NULL;NULL;NULL;int
Person;2;rowguid;NULL;NULL;NULL;NULL;NULL;uniqueidentifier
Person;3;ModifiedDate;NULL;NULL;NULL;NULL;NULL;datetime
